START DATE,END DATE,USAGE,UNITS,COST,NOTES
4/27/2012,5/25/2012,539,kWh,$91.87 ,
5/26/2012,6/26/2012,561,kWh,$81.04 ,
6/27/2012,7/26/2012,586,kWh,$87.01 ,
7/27/2012,8/24/2012,686,kWh,$114.32 ,
8/25/2012,9/25/2012,866,kWh,$149.30 ,
9/26/2012,10/26/2012,701,kWh,$131.17 ,
10/27/2012,11/28/2012,656,kWh,$117.67 ,
11/29/2012,12/27/2012,623,kWh,$116.07 ,
12/28/2012,1/28/2013,625,kWh,$119.05 ,
1/29/2013,2/27/2013,564,kWh,$106.87 ,
2/28/2013,3/28/2013,436,kWh,$69.63 ,
3/29/2013,4/26/2013,452,kWh,$73.96 ,
4/27/2013,5/28/2013,631,kWh,$116.80 ,
5/29/2013,6/26/2013,582,kWh,$97.33 ,
6/27/2013,7/26/2013,836,kWh,$167.32 ,
7/27/2013,8/26/2013,640,kWh,$107.28 ,
8/27/2013,9/25/2013,900,kWh,$174.94 ,
9/26/2013,10/25/2013,513,kWh,$84.26 ,
10/26/2013,11/25/2013,466,kWh,$71.81 ,
11/26/2013,12/27/2013,544,kWh,$92.76 ,
12/28/2013,1/28/2014,500,kWh,$81.27 ,
1/29/2014,2/27/2014,501,kWh,$85.87 ,
2/28/2014,3/31/2014,496,kWh,$80.44 ,
4/1/2014,4/29/2014,411,kWh,$19.95 ,
4/30/2014,5/29/2014,545,kWh,$98.55 ,
5/30/2014,6/27/2014,498,kWh,$75.46 ,
6/28/2014,7/29/2014,581,kWh,$98.33 ,
7/30/2014,8/27/2014,572,kWh,$105.39 ,
8/28/2014,9/26/2014,787,kWh,$166.39 ,
9/27/2014,10/28/2014,527,kWh,$54.87 ,
10/29/2014,11/26/2014,423,kWh,$73.60 ,
11/27/2014,12/29/2014,518,kWh,$94.55 ,
12/30/2014,1/28/2015,413,kWh,$69.63 ,
1/29/2015,2/27/2015,415,kWh,$70.04 ,
2/28/2015,3/30/2015,419,kWh,$70.35 ,
3/31/2015,4/29/2015,401,kWh,$36.74 ,
4/30/2015,5/29/2015,390,kWh,$64.96 ,
5/30/2015,6/29/2015,508,kWh,$85.33 ,
6/30/2015,7/29/2015,656,kWh,$124.47 ,
7/30/2015,8/27/2015,505,kWh,$85.76 ,
8/28/2015,9/28/2015,640,kWh,$116.75 ,
9/29/2015,10/28/2015,459,kWh,$51.81 ,
10/29/2015,11/30/2015,460,kWh,$80.08 ,
12/1/2015,12/29/2015,457,kWh,$82.50 ,
12/30/2015,1/28/2016,479,kWh,$88.34 ,
1/29/2016,2/29/2016,467,kWh,$83.23 ,
3/1/2016,3/30/2016,408,kWh,$70.92 ,
3/31/2016,4/28/2016,368,kWh,$22.86 ,
4/29/2016,5/27/2016,370,kWh,$63.20 ,
5/28/2016,6/28/2016,880,kWh,$185.21 ,
6/29/2016,7/28/2016,927,kWh,$199.36 ,
7/29/2016,8/26/2016,684,kWh,$135.35 ,
8/27/2016,9/27/2016,1049,kWh,$231.03 ,
9/28/2016,10/27/2016,992,kWh,$197.27 ,
10/28/2016,11/29/2016,1056,kWh,$253.08 ,
11/30/2016,12/28/2016,984,kWh,$239.74 ,
12/29/2016,1/27/2017,983,kWh,$229.82 ,
1/28/2017,2/28/2017,951,kWh,$219.18 ,
3/1/2017,3/29/2017,680,kWh,$151.12 ,
3/30/2017,4/28/2017,871,kWh,$167.54 ,
4/29/2017,5/30/2017,815,kWh,$183.63 ,
5/31/2017,6/28/2017,670,kWh,$140.16 ,
6/29/2017,7/28/2017,524,kWh,$100.33 ,
7/29/2017,8/28/2017,994,kWh,$221.43 ,
8/29/2017,9/27/2017,1040,kWh,$234.61 ,
9/28/2017,10/26/2017,804,kWh,$148.57 ,
10/27/2017,11/28/2017,991,kWh,$227.04 ,
11/29/2017,12/27/2017,783,kWh,$176.76 ,
12/28/2017,1/26/2018,735,kWh,$166.71 ,
1/27/2018,2/27/2018,841,kWh,$193.24 ,
2/28/2018,3/28/2018,775,kWh,$178.46 ,
3/29/2018,4/27/2018,716,kWh,$137.71 ,
4/28/2018,5/29/2018,942,kWh,$220.10 ,
5/30/2018,6/27/2018,913,kWh,$191.62 ,
6/28/2018,7/27/2018,1387,kWh,$328.80 ,
7/28/2018,8/27/2018,1179,kWh,$277.12 ,
8/28/2018,9/26/2018,834,kWh,$146.16 ,
9/27/2018,10/25/2018,866,kWh,$153.83 ,
10/26/2018,11/27/2018,890,kWh,$209.32 ,
11/28/2018,12/27/2018,939,kWh,$210.26 ,
12/27/2018,1/28/2019,981,kWh,$238.77 ,
1/28/2019,2/27/2019,922,kWh,$217.11 ,
2/27/2019,3/28/2019,744,kWh,$129.75 ,
3/28/2019,4/29/2019,924,kWh,$185.34 ,
4/29/2019,5/29/2019,881,kWh,$206.08 ,
5/29/2019,6/27/2019,462,kWh,$84.00 ,
6/27/2019,7/29/2019,1129,kWh,$247.05 ,
7/29/2019,8/27/2019,1401,kWh,$319.12 ,
8/27/2019,9/26/2019,1081,kWh,$255.55 ,
9/26/2019,10/28/2019,933,kWh,$185.88 ,
10/28/2019,11/26/2019,969,kWh,$239.84 ,
11/26/2019,12/27/2019,1143,kWh,$273.34 ,
12/27/2019,1/28/2020,1157,kWh,$278.63 ,
1/28/2020,2/27/2020,1146,kWh,$281.82 ,
2/27/2020,3/27/2020,868,kWh,$205.64 ,
3/27/2020,4/27/2020,752,kWh,$141.65 ,
4/27/2020,5/28/2020,863,kWh,$200.06 ,
5/28/2020,6/26/2020,840,kWh,$188.07 ,
6/26/2020,7/29/2020,1188,kWh,$309.24 ,
7/29/2020,8/27/2020,978,kWh,$236.82 ,
8/27/2020,9/28/2020,937,kWh,$214.41 ,
9/28/2020,10/28/2020,946,kWh,$250.06 ,
10/28/2020,11/30/2020,992,kWh,$266.22 ,
11/30/2020,12/29/2020,912,kWh,$254.38 ,
12/29/2020,1/28/2021,711,kWh,$185.27 ,
1/28/2021,3/1/2021,937,kWh,$258.25 ,
3/25/2021,4/27/2021,927,kWh,$222.93 ,
4/28/2021,5/26/2021,974,kWh,$275.55 ,
5/27/2021,6/27/2021,963,kWh,$269.32 ,
6/28/2021,7/27/2021,1425,kWh,$427.29 ,
7/28/2021,8/25/2021,1254,kWh,$372.47 ,
8/26/2021,9/26/2021,1347,kWh,$388.02 ,
9/27/2021,10/26/2021,936,kWh,$252.60 ,
10/27/2021,11/28/2021,1065,kWh,$330.34 ,
11/29/2021,12/27/2021,947,kWh,$290.89 ,
12/28/2021,1/26/2022,924,kWh,$291.77 ,
1/27/2022,2/27/2022,1008,kWh,$321.01 ,
2/28/2022,3/28/2022,795,kWh,$264.68 ,
