player,player_id,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Nikola Jokic,jokicni01,DEN,Post Scorer,"2,476",C,27,,7.8,5.68,2.12,15.5,6.53,5.11,1.42,3.74,2.35,1.39
Giannis Antetokounmpo,antetgi01,MIL,Roll + Cut Big,"2,204",PF,27,,6.54,4.37,2.17,12.3,6.58,4.97,1.61,2.3,0.94,1.36
Joel Embiid,embiijo01,PHI,Post Scorer,"2,297",C,28,,6.39,4.29,2.09,12.7,5.63,4.36,1.27,1.03,0.43,0.6
Rudy Gobert,goberru01,UTA,Roll + Cut Big,"2,120",C,29,,5.32,1.57,3.75,10.4,5.04,1.72,3.32,0.92,0.85,0.07
Jayson Tatum,tatumja01,BOS,Shot Creator,"2,731",SF,24,,5.11,3.85,1.26,13,3.97,3.22,0.75,1.7,1.19,0.51
Stephen Curry,curryst01,GSW,Primary Ball Handler,"2,211",PG,34,,4.4,4,0.4,9.6,3.85,3.66,0.19,2.21,1.65,0.56
Al Horford,horfoal01,BOS,Stretch Big,"2,005",C,35,,4.12,0.57,3.55,8.4,3.05,0.59,2.46,0.77,-0.16,0.93
Kevin Durant,duranke01,BRK,Shot Creator,"2,047",PF,33,,3.95,3.52,0.43,8.3,2.85,3.15,-0.3,1.9,1.61,0.29
Kristaps Porzingis,porzikr01,DAL/WAS,Versatile Big,"1,481",PF,26,,3.91,2.09,1.82,6,3.75,2.54,1.21,0.91,0.06,0.85
Chris Paul,paulch01,PHO,Primary Ball Handler,"2,139",PG,36,,3.83,2.75,1.08,8.5,4.13,2.51,1.62,0.51,0.15,0.36
Ja Morant,moranja01,MEM,Slasher,"1,889",PG,22,,3.45,3.93,-0.48,7.1,2.34,3.11,-0.77,0.67,0.7,-0.03
